,latitude,longitude,raion
0,37.607745,55.894879,Bibirevo
1,44.924469,56.08884,Nagatinskij Zaton
2,37.734371,55.708917,Tekstil'shhiki
3,37.365828,55.84537,Mitino
4,,,Basmannoe
5,,,Nizhegorodskoe
6,37.677158,55.799947,Sokol'niki
7,37.529043,55.832515,Koptevo
8,,,Kuncevo
9,,,Kosino-Uhtomskoe
10,37.573133,55.865834,Zapadnoe Degunino
11,37.539239,55.746274,Presnenskoe
12,37.704817,55.753635,Lefortovo
13,41.269098,44.89741,Mar'ino
14,37.773547,55.69864,Kuz'minki
15,,,Nagornoe
16,,,Gol'janovo
17,37.296685,55.610845,Vnukovo
18,37.440712,55.827257,Juzhnoe Tushino
19,37.440712,55.827257,Severnoe Tushino
20,34.924234,55.027547,Chertanovo Central'noe
21,37.469359,55.727136,Fili Davydkovo
22,,,Otradnoe
23,37.357169,55.646081,Novo-Peredelkino
24,,,Bogorodskoe
25,,,Jaroslavskoe
26,37.402695,55.803783,Strogino
27,,,Hovrino
28,37.671139,55.642692,Moskvorech'e-Saburovo
29,,,Staroe Krjukovo
30,,,Ljublino
31,,,Caricyno
32,37.815184,55.730771,Veshnjaki
33,,,Danilovskoe
34,,,Preobrazhenskoe
35,37.530588,55.643414,Kon'kovo
36,,,Brateevo
37,37.799481,55.780446,Vostochnoe Izmajlovo
38,37.824553,55.696357,Vyhino-Zhulebino
39,,,Donskoe
40,,,Novogireevo
41,37.561886,55.557775,Juzhnoe Butovo
42,40.099977,59.460968,Sokol
43,37.389661,55.891239,Kurkino
44,,,Izmajlovo
45,41.669226,57.437788,Severnoe Medvedkovo
46,37.661266,55.834421,Rostokino
47,,,Orehovo-Borisovo Severnoe
48,,,Ochakovo-Matveevskoe
49,,,Taganskoe
50,,,Dmitrovskoe
51,,,Orehovo-Borisovo Juzhnoe
52,,,Teplyj Stan
53,,,Babushkinskoe
54,37.445779,55.823823,Pokrovskoe Streshnevo
55,,,Obruchevskoe
56,,,Filevskij Park
57,,,Troparevo-Nikulino
58,37.561886,55.557775,Severnoe Butovo
59,,,Hamovniki
60,,,Solncevo
61,37.553163,55.740436,Dorogomilovo
62,37.575486,55.819044,Timirjazevskoe
63,37.568479,55.900668,Lianozovo
64,37.723807,55.685158,Pechatniki
65,103.525662,53.320872,Krjukovo
66,,,Jasenevo
67,34.924234,55.027547,Chertanovo Severnoe
68,,,Rjazanskij
69,37.168244,55.999007,Silino
70,41.554071,56.989772,Ivanovskoe
71,,,Golovinskoe
72,37.861725,55.740167,Novokosino
73,37.64171,55.671422,Nagatino-Sadovniki
74,36.620622,55.446355,Birjulevo Vostochnoe
75,37.799481,55.780446,Severnoe Izmajlovo
76,37.730625,55.772775,Sokolinaja Gora
77,37.573133,55.865834,Vostochnoe Degunino
78,37.514904,55.681422,Prospekt Vernadskogo
79,37.238016,55.989915,Savelki
80,24.06301,56.99569,Ajeroport
81,,,Vojkovskoe
82,37.551636,55.870056,Beskudnikovskoe
83,,,Krylatskoe
84,,,Juzhnoportovoe
85,37.767456,55.751994,Perovo
86,,,Akademicheskoe
87,,,Horoshevo-Mnevniki
88,,,Shhukino
89,,,Kapotnja
90,,,Horoshevskoe
91,37.588745,55.830002,Marfino
92,34.924234,55.027547,Chertanovo Juzhnoe
93,,,Savelovskoe
94,36.620622,55.446355,Birjulevo Zapadnoe
95,142.627763,53.683455,Nekrasovka
96,25.738673,53.119475,Cheremushki
97,37.647711,55.851839,Sviblovo
98,,,Alekseevskoe
99,,,Krasnosel'skoe
100,37.597199,55.676209,Kotlovka
101,37.589608,55.654066,Zjuzino
102,,,Ostankinskoe
103,,,Tverskoe
104,,,Losinoostrovskoe
105,37.602247,55.813531,Butyrskoe
106,37.200116,56.005103,Matushkino
107,37.756739,55.823338,Metrogorodok
108,41.669226,57.437788,Juzhnoe Medvedkovo
109,,,Lomonosovskoe
110,,,Jakimanka
111,,,Mozhajskoe
112,37.465937,55.865419,Levoberezhnoe
113,37.611518,55.79722,Mar'ina Roshha
114,,,Gagarinskoe
115,37.633715,55.733609,Zamoskvorech'e
116,37.586482,55.878238,Altuf'evskoe
117,37.51379,55.707152,Ramenki
118,37.746076,55.620423,Zjablikovo
119,,,Meshhanskoe
120,,,Severnoe
121,,,Begovoe
122,44.403329,40.138334,Arbat
123,,,Poselenie Sosenskoe
124,,,Poselenie Moskovskij
125,,,Poselenie Pervomajskoe
126,,,Poselenie Desjonovskoe
127,,,Poselenie Voskresenskoe
128,36.532434,55.336063,Poselenie Mosrentgen
129,36.468106,55.94505,Troickij okrug
130,,,Poselenie Shherbinka
131,101.068276,57.051948,Poselenie Filimonkovskoe
132,,,Poselenie Vnukovskoe
133,,,Poselenie Marushkinskoe
134,55.877852,58.543579,Poselenie Shhapovskoe
135,,,Poselenie Rjazanovskoe
136,37.171298,55.599799,Poselenie Kokoshkino
137,,,Vostochnoe
138,,,Poselenie Krasnopahorskoe
139,,,Poselenie Novofedorovskoe
140,,,Poselenie Voronovskoe
141,,,Poselenie Klenovskoe
142,,,Poselenie Rogovskoe
143,,,Poselenie Kievskij
144,,,Molzhaninovskoe
145,,,Poselenie Mihajlovo-Jarcevskoe
